,0,1,2,3,4,5,6,loss,lr
0,253.0,356.0,0.7599999904632568,9.0,7206.0,0.0007699999841861427,0.017000000923871994,0.4896642863750458,0.001
1,133.0,447.0,0.9700000286102295,11.0,9453.0,3.2000000373955118e-06,1.6000000213622911e-09,0.4896642863750458,0.001
2,86.0,299.0,0.38999998569488525,8.0,7879.0,0.00016999999934341758,4.600000011123484e-06,0.4896642863750458,0.001
3,328.0,39.0,0.6499999761581421,8.0,6611.0,0.002099999925121665,1.5999999902760464e-07,0.4896642863750458,0.001
4,372.0,489.0,0.5699999928474426,7.0,9408.0,1.4000000270186774e-08,0.00039000000106170774,0.4896642863750458,0.001
5,282.0,465.0,0.9800000190734863,11.0,9654.0,6.70000008540228e-05,1.400000004814217e-09,0.4896642863750458,0.001
6,163.0,105.0,0.9900000095367432,7.0,21.0,0.10999999940395355,2.5000000292152436e-08,0.4896642863750458,0.001
7,471.0,194.0,0.5400000214576721,10.0,6889.0,1.500000013088254e-09,7.999999951380232e-08,0.4896642863750458,0.001
8,218.0,227.0,0.46000000834465027,6.0,7434.0,0.005499999970197678,3.300000025774352e-05,0.4896642863750458,0.001
9,466.0,423.0,0.49000000953674316,7.0,6947.0,0.0026000000070780516,6.799999937356915e-06,0.4896642863750458,0.001
10,393.0,141.0,0.36000001430511475,6.0,9271.0,0.0013000000035390258,4.3999999199684225e-09,0.4896642863750458,0.001
11,193.0,238.0,0.9599999785423279,7.0,3644.0,3.100000034450545e-09,0.010999999940395355,0.4896642863750458,0.001
12,438.0,93.0,0.699999988079071,6.0,4958.0,1.1000000085914508e-05,9.800000043469481e-06,0.4896642863750458,0.001
13,60.0,455.0,0.4300000071525574,7.0,9624.0,0.03500000014901161,0.0004600000102072954,0.4896642863750458,0.001
14,315.0,249.0,0.3199999928474426,11.0,354.0,1.500000013088254e-09,3.6999999792897142e-06,0.4896642863750458,0.001
15,265.0,29.0,0.75,7.0,8036.0,7.699999696342275e-05,7.4000001681895355e-09,0.4896642863750458,0.001
16,370.0,245.0,0.5099999904632568,10.0,5568.0,4.500000159168849e-06,0.23999999463558197,0.4896642863750458,0.001
17,375.0,260.0,0.7200000286102295,6.0,3293.0,1.3999999737279722e-06,0.09300000220537186,0.4896642863750458,0.001
18,99.0,334.0,0.10999999940395355,8.0,1209.0,0.0019000000320374966,3.5000000675466936e-09,0.4896642863750458,0.001
19,355.0,228.0,0.4699999988079071,10.0,4309.0,4.3000000005122274e-07,0.035999998450279236,0.4896642863750458,0.001
20,480.0,220.0,0.15000000596046448,11.0,8845.0,1.5999999902760464e-07,9.600000339560211e-05,0.4896642863750458,0.001
21,5.0,375.0,0.11999999731779099,9.0,6991.0,3.299999889350147e-06,5.4000001910026185e-06,0.4896642863750458,0.001
22,308.0,332.0,0.4000000059604645,10.0,4568.0,1.1999999882661427e-09,0.1899999976158142,0.4896642863750458,0.001
23,324.0,233.0,0.9200000166893005,10.0,3973.0,9.599999906129142e-09,1.1999999882661427e-09,0.4896642863750458,0.001
24,35.0,440.0,0.0860000029206276,11.0,8306.0,7.699999855503847e-07,2.7999999474559445e-06,0.4896642863750458,0.001
25,94.0,341.0,0.014999999664723873,7.0,7814.0,1.999999987845058e-08,0.0006900000153109431,0.4896642863750458,0.001
26,406.0,399.0,0.6700000166893005,11.0,6417.0,6.20000006890109e-09,6.600000119760807e-07,0.4896642863750458,0.001
27,444.0,472.0,0.699999988079071,9.0,1966.0,5.300000225361146e-07,2.699999868127634e-07,0.4896642863750458,0.001
28,259.0,445.0,0.6399999856948853,9.0,3329.0,8.399999933317304e-05,1.9999999949504854e-06,0.4896642863750458,0.001
29,53.0,427.0,0.12999999523162842,6.0,3729.0,4.999999873689376e-05,1.4000000192027073e-05,0.4896642863750458,0.001
30,188.0,377.0,0.5400000214576721,6.0,5383.0,1.2999999853491317e-05,6.900000215637192e-08,0.4896642863750458,0.001
31,167.0,170.0,0.5699999928474426,8.0,3901.0,0.002899999963119626,9.799999922677216e-09,0.4896642863750458,0.001
32,29.0,44.0,0.057999998331069946,10.0,6093.0,1.9999999949504854e-06,0.0006300000241026282,0.4896642863750458,0.001
33,295.0,10.0,0.5,8.0,5996.0,6.30000016599297e-08,0.003700000001117587,0.4896642863750458,0.001
34,445.0,460.0,0.1599999964237213,9.0,4106.0,4.099999841855606e-06,4.300000000512227e-06,0.4896642863750458,0.001
35,434.0,90.0,0.5899999737739563,8.0,5191.0,0.07800000160932541,6.000000052353016e-09,0.4896642863750458,0.001
36,8.0,245.0,0.9100000262260437,11.0,9005.0,0.0002099999983329326,1.2000000104706032e-08,0.4896642863750458,0.001
37,37.0,287.0,0.8700000047683716,9.0,8928.0,0.550000011920929,0.004800000227987766,0.4896642863750458,0.001
38,263.0,5.0,0.9300000071525574,8.0,5613.0,0.017000000923871994,4.599999954280065e-07,0.4896642863750458,0.001
39,286.0,122.0,0.7799999713897705,6.0,5693.0,3.199999980552093e-07,0.10999999940395355,0.4896642863750458,0.001
40,19.0,366.0,0.07100000232458115,11.0,57.0,0.0002500000118743628,0.00026000000070780516,0.4896642863750458,0.001
41,475.0,67.0,0.8500000238418579,9.0,2105.0,5.99999978589949e-08,0.05000000074505806,0.4896642863750458,0.001
42,364.0,327.0,0.47999998927116394,9.0,569.0,0.0010000000474974513,4.19999999223819e-08,0.4896642863750458,0.001
43,234.0,294.0,0.023000000044703484,6.0,6476.0,0.25999999046325684,3.400000139208714e-07,0.4896642863750458,0.001
44,421.0,301.0,0.44999998807907104,6.0,9145.0,0.0949999988079071,0.03200000151991844,0.4896642863750458,0.001
45,413.0,162.0,0.15000000596046448,8.0,803.0,4.999999873689376e-06,3.700000092976552e-07,0.4896642863750458,0.001
46,124.0,144.0,0.4099999964237213,7.0,1491.0,0.09099999815225601,0.6800000071525574,0.4896642863750458,0.001
47,315.0,390.0,0.4300000071525574,7.0,3758.0,6.500000040432496e-07,0.0015999999595806003,0.4896642863750458,0.001
48,115.0,155.0,0.1599999964237213,10.0,2433.0,0.0004199999966658652,1.1000000199601345e-07,0.4896642863750458,0.001
49,460.0,24.0,0.0989999994635582,7.0,1347.0,2.900000026784255e-06,9.999999747378752e-05,0.4896642863750458,0.001
50,141.0,390.0,0.7900000214576721,9.0,3147.0,0.0008299999753944576,1.3000000365082087e-07,0.4896642863750458,0.001
51,280.0,267.0,0.7400000095367432,8.0,9504.0,0.00026000000070780516,2.300000051036477e-05,0.4896642863750458,0.001
52,470.0,119.0,0.20000000298023224,9.0,7489.0,0.02199999988079071,1.0999999799921056e-09,0.4896642863750458,0.001
53,340.0,214.0,0.14000000059604645,10.0,7319.0,0.0003600000054575503,1.6000000186977559e-06,0.4896642863750458,0.001
54,335.0,197.0,0.20999999344348907,10.0,8091.0,0.017999999225139618,0.027000000700354576,0.4896642863750458,0.001
