,0,1,2,3,4,5,6,loss,lr
0,69.0,146.0,0.07800000160932541,10.0,3180.0,1.6999999630229468e-08,7.400000322377309e-05,0.49847346544265747,0.01
1,175.0,134.0,0.25999999046325684,6.0,1628.0,0.33000001311302185,0.25999999046325684,0.49847346544265747,0.01
2,430.0,416.0,0.6600000262260437,6.0,7478.0,4.600000025334339e-08,0.7200000286102295,0.49847346544265747,0.01
3,101.0,13.0,1.0,8.0,1286.0,0.004399999976158142,3.699999950868005e-08,0.49847346544265747,0.01
4,78.0,123.0,0.012000000104308128,7.0,1489.0,0.23000000417232513,1.700000029813964e-05,0.49847346544265747,0.01
5,32.0,217.0,0.20999999344348907,6.0,3442.0,3.199999980552093e-07,8.199999865610152e-05,0.49847346544265747,0.01
6,106.0,218.0,0.41999998688697815,7.0,2349.0,1.500000053056283e-06,1.2000000104706032e-08,0.49847346544265747,0.01
7,228.0,446.0,0.8299999833106995,7.0,740.0,1.0999999799921056e-09,1.5999999902760464e-07,0.49847346544265747,0.01
8,440.0,400.0,0.9800000190734863,8.0,4957.0,5.700000116348747e-08,2.100000074278796e-06,0.49847346544265747,0.01
9,437.0,334.0,0.12999999523162842,6.0,4193.0,0.004000000189989805,1.2999999965401798e-09,0.49847346544265747,0.01
10,81.0,96.0,0.7200000286102295,9.0,4556.0,2.099999983329326e-05,5.0999999075429514e-05,0.49847346544265747,0.01
11,387.0,478.0,0.25999999046325684,8.0,9540.0,9.200000204145908e-05,3.999999989900971e-06,0.49847346544265747,0.01
12,263.0,401.0,0.08299999684095383,10.0,3091.0,0.014000000432133675,9.8000001003129e-08,0.49847346544265747,0.01
13,445.0,232.0,0.6200000047683716,7.0,8014.0,0.7400000095367432,5.000000058430487e-08,0.49847346544265747,0.01
14,234.0,68.0,0.6299999952316284,7.0,7981.0,3.199999909497819e-08,3.6999999792897142e-06,0.49847346544265747,0.01
15,259.0,66.0,0.1599999964237213,8.0,6299.0,3.899999967416079e-08,0.17000000178813934,0.49847346544265747,0.01
16,200.0,371.0,0.8799999952316284,11.0,546.0,0.004699999932199717,0.5899999737739563,0.49847346544265747,0.01
17,132.0,65.0,0.7799999713897705,9.0,9645.0,0.3799999952316284,2.7999999474559445e-06,0.49847346544265747,0.01
18,469.0,100.0,0.12999999523162842,7.0,6089.0,0.039000000804662704,5.900000132896821e-07,0.49847346544265747,0.01
19,245.0,286.0,0.9599999785423279,7.0,5692.0,2.4000000209412065e-08,2.3999999765322855e-09,0.49847346544265747,0.01
20,472.0,128.0,0.5400000214576721,7.0,9743.0,0.009999999776482582,0.00018000000272877514,0.49847346544265747,0.01
21,109.0,290.0,0.9399999976158142,8.0,3523.0,0.5899999737739563,6.0999998822808266e-05,0.49847346544265747,0.01
22,371.0,180.0,0.3700000047683716,7.0,5719.0,0.0027000000700354576,6.500000093723202e-09,0.49847346544265747,0.01
23,85.0,303.0,0.04100000113248825,8.0,6823.0,9.100000170292333e-06,0.0007200000109151006,0.49847346544265747,0.01
24,497.0,197.0,0.7099999785423279,9.0,9594.0,7.100000232185266e-08,4.900000021734741e-06,0.49847346544265747,0.01
25,405.0,453.0,0.1899999976158142,9.0,2572.0,0.00019999999494757503,0.1899999976158142,0.49847346544265747,0.01
26,148.0,248.0,0.49000000953674316,9.0,8515.0,2.499999936844688e-05,1.1000000085914508e-05,0.49847346544265747,0.01
27,157.0,363.0,0.23999999463558197,11.0,7131.0,0.09000000357627869,9.999999717180685e-10,0.49847346544265747,0.01
28,127.0,253.0,0.5600000023841858,9.0,9158.0,0.25,0.0009299999801442027,0.49847346544265747,0.01
29,214.0,423.0,0.7099999785423279,6.0,8261.0,0.05400000140070915,0.0003600000054575503,0.49847346544265747,0.01
30,116.0,461.0,0.23000000417232513,11.0,1178.0,7.79999973019585e-05,6.20000006890109e-09,0.49847346544265747,0.01
31,35.0,324.0,0.9200000166893005,11.0,496.0,9.899999895424116e-07,0.0989999994635582,0.49847346544265747,0.01
32,222.0,430.0,0.2800000011920929,6.0,7333.0,0.00014000000373926014,1.4000000192027073e-05,0.49847346544265747,0.01
33,373.0,282.0,0.5299999713897705,7.0,1120.0,1.8000000068241206e-07,9.400000067216752e-08,0.49847346544265747,0.01
34,153.0,108.0,0.0689999982714653,8.0,2289.0,0.005400000140070915,0.12999999523162842,0.49847346544265747,0.01
35,289.0,247.0,0.4000000059604645,9.0,1221.0,0.0002899999963119626,2.399999914359796e-07,0.49847346544265747,0.01
36,255.0,257.0,0.12999999523162842,10.0,7849.0,2.7999999474559445e-07,0.00014000000373926014,0.49847346544265747,0.01
37,167.0,372.0,0.949999988079071,8.0,7083.0,6.500000040432496e-07,0.14000000059604645,0.49847346544265747,0.01
38,210.0,308.0,0.8299999833106995,8.0,9262.0,4.600000102072954e-05,0.5,0.49847346544265747,0.01
39,92.0,157.0,0.800000011920929,8.0,8242.0,3.7999998312443495e-05,8.300000445160549e-06,0.49847346544265747,0.01
40,420.0,51.0,0.46000000834465027,10.0,3930.0,6.500000182541044e-08,0.006599999964237213,0.49847346544265747,0.01
41,130.0,243.0,0.017000000923871994,6.0,4108.0,1.3000000365082087e-07,0.00013000000035390258,0.49847346544265747,0.01
42,281.0,404.0,0.9599999785423279,9.0,8871.0,1.999999943436137e-09,0.0015999999595806003,0.49847346544265747,0.01
43,487.0,394.0,0.9100000262260437,10.0,4367.0,0.0009299999801442027,0.023000000044703484,0.49847346544265747,0.01
44,41.0,149.0,0.8600000143051147,11.0,4290.0,0.6399999856948853,1.999999943436137e-09,0.49847346544265747,0.01
45,187.0,358.0,0.28999999165534973,9.0,6889.0,3.000000106112566e-06,3.099999901223782e-07,0.49847346544265747,0.01
46,95.0,357.0,0.3499999940395355,10.0,9684.0,0.001500000013038516,4.700000033608376e-07,0.49847346544265747,0.01
47,113.0,61.0,0.550000011920929,6.0,4332.0,3.899999967416079e-07,0.006099999882280827,0.49847346544265747,0.01
48,417.0,30.0,0.2199999988079071,9.0,859.0,4.600000025334339e-08,0.00019999999494757503,0.49847346544265747,0.01
49,267.0,410.0,0.09700000286102295,11.0,432.0,3.4999999343199306e-08,2.900000017902471e-09,0.49847346544265747,0.01
50,341.0,455.0,0.5799999833106995,8.0,5344.0,0.010999999940395355,9.500000305706635e-05,0.49847346544265747,0.01
51,140.0,377.0,0.1599999964237213,11.0,4542.0,8.499999921696144e-07,0.04800000041723251,0.49847346544265747,0.01
52,452.0,387.0,0.9800000190734863,7.0,186.0,5.700000027530905e-09,1.4999999464748726e-08,0.49847346544265747,0.01
53,12.0,441.0,0.15000000596046448,11.0,6782.0,5.099999977886682e-09,7.800000275892671e-06,0.49847346544265747,0.01
54,246.0,159.0,0.05900000035762787,10.0,3803.0,1.8000000379103653e-09,0.028999999165534973,0.49847346544265747,0.01
55,402.0,108.0,0.5099999904632568,8.0,8740.0,0.6800000071525574,0.1899999976158142,0.49847346544265747,0.01
56,398.0,389.0,0.2800000011920929,10.0,322.0,3.3000000509986194e-09,0.01899999938905239,0.49847346544265747,0.01
57,316.0,116.0,0.9700000286102295,8.0,5925.0,2.2999999771400326e-07,0.09099999815225601,0.49847346544265747,0.01
58,360.0,56.0,0.10999999940395355,11.0,8311.0,7.999999979801942e-06,1.8999999440438842e-07,0.49847346544265747,0.01
59,348.0,413.0,0.800000011920929,8.0,2763.0,4.1000001260727004e-07,0.00011999999696854502,0.49847346544265747,0.01
60,302.0,296.0,0.3499999940395355,11.0,8560.0,1.8999999156221747e-05,1.3000000365082087e-07,0.49847346544265747,0.01
61,347.0,191.0,0.5799999833106995,11.0,2247.0,7.5999997406484e-09,1.1000000021965661e-08,0.49847346544265747,0.01
62,465.0,273.0,0.20000000298023224,6.0,8664.0,0.10999999940395355,1.8000000636675395e-05,0.49847346544265747,0.01
63,462.0,498.0,0.3700000047683716,9.0,7352.0,2.0999999605919584e-07,0.008100000210106373,0.49847346544265747,0.01
64,292.0,338.0,0.4399999976158142,7.0,6715.0,7.999999773744548e-09,0.0007900000200606883,0.49847346544265747,0.01
65,179.0,142.0,0.8700000047683716,9.0,3874.0,0.028999999165534973,0.0820000022649765,0.49847346544265747,0.01
66,497.0,266.0,0.3799999952316284,11.0,5782.0,2.499999936844688e-06,1.2999999853491317e-05,0.49847346544265747,0.01
67,335.0,391.0,0.8199999928474426,6.0,1789.0,3.6000000136482413e-07,1.6999999843392288e-06,0.49847346544265747,0.01
68,474.0,194.0,0.7300000190734863,6.0,5870.0,0.054999999701976776,6.799999852091787e-08,0.49847346544265747,0.01
69,18.0,369.0,0.47999998927116394,6.0,9303.0,1.7000000296363282e-09,1.7000000296363282e-09,0.49847346544265747,0.01
70,296.0,184.0,0.9300000071525574,6.0,2364.0,9.699999914403179e-09,0.949999988079071,0.49847346544265747,0.01
71,338.0,58.0,0.9300000071525574,8.0,5562.0,2.6000000374892807e-08,0.003100000089034438,0.49847346544265747,0.01
72,449.0,480.0,0.20999999344348907,11.0,7577.0,4.800000169780105e-06,1.0999999799921056e-09,0.49847346544265747,0.01
73,10.0,88.0,0.25999999046325684,9.0,6692.0,2.6000000730164174e-07,1.3999999737279722e-06,0.49847346544265747,0.01
74,103.0,233.0,0.3400000035762787,6.0,7018.0,5.200000146032835e-07,0.3100000023841858,0.49847346544265747,0.01
75,321.0,313.0,0.41999998688697815,9.0,3774.0,0.009200000204145908,0.0002500000118743628,0.49847346544265747,0.01
76,378.0,36.0,0.6000000238418579,10.0,7533.0,0.0005099999834783375,4.600000102072954e-05,0.49847346544265747,0.01
77,366.0,54.0,0.8399999737739563,11.0,8846.0,5.500000042957254e-05,1.500000013088254e-09,0.49847346544265747,0.01
78,438.0,94.0,0.05000000074505806,11.0,146.0,2.099999996119095e-08,0.3799999952316284,0.49847346544265747,0.01
79,306.0,118.0,0.5,10.0,1600.0,0.00022000000171829015,0.0027000000700354576,0.49847346544265747,0.01
80,190.0,172.0,0.6800000071525574,7.0,1408.0,0.4099999964237213,5.80000005356851e-06,0.49847346544265747,0.01
81,407.0,174.0,0.28999999165534973,9.0,6988.0,0.06300000101327896,2.6000000374892807e-08,0.49847346544265747,0.01
82,300.0,471.0,0.8899999856948853,9.0,6033.0,0.0430000014603138,0.004100000020116568,0.49847346544265747,0.01
83,182.0,201.0,0.3799999952316284,11.0,9032.0,0.0013000000035390258,7.4000001681895355e-09,0.49847346544265747,0.01
84,241.0,127.0,0.8700000047683716,9.0,1046.0,0.00033000000985339284,4.099999895146311e-09,0.49847346544265747,0.01
85,460.0,111.0,0.18000000715255737,11.0,6127.0,1.1000000085914508e-05,0.01600000075995922,0.49847346544265747,0.01
86,412.0,207.0,0.5899999737739563,11.0,6506.0,2.2999999682582484e-09,3.9999998989515007e-05,0.49847346544265747,0.01
87,364.0,322.0,0.15000000596046448,7.0,6156.0,0.20000000298023224,6.199999802447564e-08,0.49847346544265747,0.01
88,64.0,328.0,0.3700000047683716,10.0,2706.0,1.899999979571021e-08,4.600000025334339e-08,0.49847346544265747,0.01
89,53.0,264.0,0.3100000023841858,10.0,1747.0,0.006899999920278788,0.4699999988079071,0.49847346544265747,0.01
90,450.0,47.0,0.4300000071525574,11.0,2665.0,7.200000254670158e-05,1.0999999631167157e-06,0.49847346544265747,0.01
91,98.0,79.0,0.17000000178813934,10.0,8987.0,0.014999999664723873,1.400000004814217e-09,0.49847346544265747,0.01
