,0,1,2,3,4,5,6,loss,lr
0,420.0,162.0,0.922005832195282,6.0,9373.0,0.44866013526916504,1.0,0.26197144389152527,0.1
1,395.0,497.0,0.23430122435092926,8.0,285.0,0.00440960144624114,1.0,0.20223212242126465,0.1
2,410.0,60.0,0.32647305727005005,11.0,825.0,0.07093018293380737,0.3423273265361786,0.24002519249916077,0.1
3,378.0,138.0,0.40125975012779236,9.0,3230.0,0.5584084391593933,0.5672076344490051,0.20142358541488647,0.1
4,188.0,262.0,0.7767645716667175,10.0,2124.0,0.07283774018287659,0.8452333807945251,0.20626066625118256,0.1
5,295.0,250.0,0.3456687033176422,8.0,2807.0,0.6369377970695496,0.49922046065330505,0.20749446749687195,0.1
6,3.0,13.0,0.28324419260025024,7.0,3383.0,0.13800005614757538,0.15923559665679932,0.23943990468978882,0.1
7,303.0,89.0,0.29662221670150757,11.0,590.0,0.04667200148105621,0.28572818636894226,0.2679286599159241,0.1
8,376.0,325.0,1.0,6.0,2736.0,0.5527742505073547,0.6497337222099304,0.21694256365299225,0.1
9,394.0,222.0,0.17875070869922638,9.0,5301.0,0.22635698318481445,0.8728616833686829,0.2099715769290924,0.1
10,193.0,281.0,0.501534640789032,8.0,1643.0,0.541137158870697,0.08620411902666092,0.2145462930202484,0.1
11,436.0,170.0,0.6217247247695923,8.0,8883.0,0.2666228711605072,1.0,0.24024629592895508,0.1
12,348.0,32.0,0.5512443780899048,7.0,6828.0,0.6028261780738831,0.874290406703949,0.21967294812202454,0.1
13,7.0,424.0,0.5816696882247925,8.0,5969.0,0.5459437966346741,0.7810437679290771,0.21869193017482758,0.1
14,86.0,49.0,0.5712470412254333,9.0,4358.0,0.38240668177604675,0.371038019657135,0.2110416293144226,0.1
15,383.0,68.0,1.0,11.0,1590.0,0.0011147428303956985,0.730525016784668,0.1995527297258377,0.1
16,195.0,190.0,0.009999999776482582,11.0,6344.0,9.999999717180685e-10,9.999999717180685e-10,0.9564953446388245,0.1
17,44.0,196.0,0.009999999776482582,6.0,6577.0,9.999999717180685e-10,9.999999717180685e-10,1.0086976289749146,0.1
18,73.0,476.0,0.0606696680188179,8.0,633.0,0.027840759605169296,1.0,0.20098289847373962,0.1
19,312.0,404.0,0.009999999776482582,7.0,6782.0,9.999999717180685e-10,9.999999717180685e-10,0.9999185800552368,0.1
20,361.0,455.0,0.7510499358177185,6.0,8967.0,0.4796256124973297,1.0,0.43638452887535095,0.1
21,276.0,472.0,0.8531121015548706,8.0,8271.0,0.7077811360359192,1.0,0.3776372969150543,0.1
22,61.0,297.0,1.0,6.0,3196.0,0.3777548670768738,0.5329223871231079,0.22718696296215057,0.1
23,140.0,29.0,0.3651050627231598,6.0,4457.0,0.3943471312522888,0.5079214572906494,0.20603333413600922,0.1
24,465.0,48.0,0.05233081802725792,11.0,906.0,0.046823546290397644,0.32523420453071594,0.23817333579063416,0.1
25,243.0,165.0,0.09554857760667801,7.0,7344.0,0.3305882513523102,0.8775025606155396,0.2213042974472046,0.1
26,258.0,82.0,0.9662503600120544,7.0,2887.0,0.5219147801399231,0.30448251962661743,0.22055096924304962,0.1
27,485.0,52.0,0.9807167053222656,8.0,6541.0,0.43705281615257263,0.8717297315597534,0.214986652135849,0.1
28,68.0,463.0,1.0,8.0,7925.0,1.0,0.7607187032699585,0.27779412269592285,0.1
29,482.0,411.0,0.9022051095962524,11.0,8058.0,0.6298681497573853,1.0,0.337002694606781,0.1
30,113.0,469.0,0.997063934803009,6.0,6052.0,1.0,0.7025152444839478,0.2477165013551712,0.1
31,411.0,210.0,0.22174809873104095,8.0,2213.0,0.6079357266426086,0.5487490296363831,0.21087032556533813,0.1
32,170.0,342.0,0.9349933862686157,10.0,7687.0,1.0,0.9932636022567749,0.25408443808555603,0.1
33,329.0,219.0,0.13313797116279602,9.0,1476.0,0.5252068042755127,0.13688050210475922,0.22153666615486145,0.1
34,301.0,458.0,0.15450501441955566,8.0,866.0,0.0313648022711277,0.9831894040107727,0.20618942379951477,0.1
35,176.0,146.0,1.0,9.0,5738.0,0.6159788370132446,0.590654194355011,0.2129608690738678,0.1
36,109.0,44.0,0.96918123960495,7.0,9444.0,0.5291409492492676,0.7456384897232056,0.2388802468776703,0.1
37,105.0,484.0,1.0,6.0,7113.0,0.9452669024467468,0.8107832670211792,0.27199268341064453,0.1
38,81.0,297.0,0.8348298668861389,8.0,6742.0,0.7528281211853027,0.7235401272773743,0.23221531510353088,0.1
39,270.0,384.0,1.0,10.0,3903.0,0.6114917397499084,0.7073147296905518,0.2142195701599121,0.1
40,287.0,406.0,0.7024547457695007,6.0,6868.0,0.6567221879959106,1.0,0.33096733689308167,0.1
41,311.0,84.0,0.36185526847839355,10.0,463.0,0.017549114301800728,0.3066646158695221,0.2884078323841095,0.1
42,227.0,385.0,0.6455085873603821,9.0,9928.0,0.8484825491905212,1.0,0.361603319644928,0.1
43,460.0,397.0,0.6122018098831177,8.0,6397.0,0.9242632389068604,1.0,0.3379461467266083,0.1
44,289.0,344.0,0.8215955495834351,7.0,314.0,9.999999717180685e-10,0.9365313053131104,0.20295082032680511,0.1
45,132.0,393.0,1.0,8.0,3485.0,0.4979456663131714,0.6238847970962524,0.21698281168937683,0.1
46,126.0,38.0,0.9327152371406555,6.0,8588.0,0.3955067992210388,0.7541417479515076,0.24111562967300415,0.1
47,237.0,98.0,1.0,8.0,4034.0,0.20921379327774048,0.7107747793197632,0.21920493245124817,0.1
48,148.0,269.0,0.601798415184021,7.0,6943.0,0.9252015352249146,0.8188626170158386,0.23566977679729462,0.1
49,367.0,312.0,0.011361612007021904,10.0,7389.0,9.999999717180685e-10,9.999999717180685e-10,0.9901440143585205,0.1
50,9.0,70.0,0.10109308362007141,9.0,1673.0,0.248443141579628,0.028630364686250687,0.2285047322511673,0.1
51,321.0,186.0,1.0,9.0,4345.0,0.4025576114654541,0.7246294021606445,0.21441325545310974,0.1
52,18.0,335.0,0.11067204922437668,6.0,511.0,0.0013658289099112153,0.6373932957649231,0.23642873764038086,0.1
53,363.0,15.0,0.037404146045446396,11.0,3039.0,0.6171191334724426,0.27495187520980835,0.20636606216430664,0.1
54,208.0,354.0,0.7773813605308533,8.0,9993.0,0.793028712272644,1.0,0.35165032744407654,0.1
55,430.0,241.0,1.0,8.0,2194.0,0.5420316457748413,0.4310652017593384,0.20936213433742523,0.1
56,264.0,263.0,0.8179516196250916,11.0,7635.0,0.8507196307182312,0.9829509258270264,0.23489733040332794,0.1
57,246.0,380.0,0.24085299670696259,8.0,1106.0,0.34610313177108765,0.15269584953784943,0.22574572265148163,0.1
58,40.0,433.0,1.0,10.0,9290.0,0.5589850544929504,0.35867226123809814,0.25643622875213623,0.1
59,84.0,461.0,1.0,10.0,720.0,0.006516668479889631,0.17549464106559753,0.23648115992546082,0.1
60,358.0,314.0,1.0,10.0,5906.0,1.0,0.9683043956756592,0.23454110324382782,0.1
61,451.0,223.0,0.6861500144004822,7.0,3150.0,1.0,0.6991270184516907,0.21332791447639465,0.1
62,347.0,437.0,0.8479627370834351,6.0,3090.0,0.6692640781402588,0.703004002571106,0.21188588440418243,0.1
63,239.0,36.0,0.9890273213386536,9.0,4847.0,0.43891677260398865,0.4701792597770691,0.20609071850776672,0.1
64,478.0,425.0,0.8996139168739319,9.0,7885.0,0.24877923727035522,1.0,0.3739566206932068,0.1
65,42.0,118.0,0.9378920197486877,7.0,8045.0,0.44191890954971313,0.5810304284095764,0.23300981521606445,0.1
66,97.0,56.0,1.0,11.0,4924.0,0.5345944762229919,0.2627427279949188,0.2168351113796234,0.1
67,494.0,267.0,0.4408673048019409,8.0,2674.0,0.6151074767112732,0.7294076681137085,0.20861278474330902,0.1
68,350.0,304.0,0.628998875617981,7.0,5828.0,0.5176419615745544,1.0,0.24895542860031128,0.1
69,202.0,116.0,0.7362533211708069,7.0,7808.0,0.5283960103988647,0.8443726897239685,0.229701429605484,0.1
70,120.0,180.0,0.8263325691223145,9.0,9159.0,0.6336945295333862,0.8901928067207336,0.23865710198879242,0.1
71,251.0,133.0,0.8086860775947571,7.0,5102.0,0.5928901433944702,0.6715841293334961,0.21162734925746918,0.1
