,runtime,site
0,0.001806020736694336,dapelogo_2007
1,0.0011069774627685547,dielmo_1990
2,0.0010232925415039062,laye_2007
3,0.0010938644409179688,matsari_1970
4,0.0010149478912353516,namawala_1991
5,0.001132965087890625,ndiop_1993
6,0.0011932849884033203,rafin_marke_1970
7,0.0012271404266357422,sugungum_1970
8,0.0012028217315673828,dapelogo_2007
9,0.0010170936584472656,dielmo_1990
10,0.0011010169982910156,laye_2007
11,0.000926971435546875,matsari_1970
12,0.0013000965118408203,namawala_1991
13,0.0009710788726806641,ndiop_1993
14,0.0008740425109863281,rafin_marke_1970
15,0.0008661746978759766,sugungum_1970
16,0.001010894775390625,dapelogo_2007
17,0.0009572505950927734,dielmo_1990
18,0.0010700225830078125,laye_2007
19,0.0012500286102294922,matsari_1970
20,0.0011889934539794922,namawala_1991
21,0.000949859619140625,ndiop_1993
22,0.000926971435546875,rafin_marke_1970
23,0.001669168472290039,sugungum_1970
24,0.0015110969543457031,dapelogo_2007
25,0.0012500286102294922,dielmo_1990
26,0.0008809566497802734,laye_2007
27,0.0009448528289794922,matsari_1970
28,0.0009598731994628906,namawala_1991
29,0.0016658306121826172,ndiop_1993
30,0.0013778209686279297,rafin_marke_1970
31,0.0009632110595703125,sugungum_1970
32,0.0013928413391113281,dapelogo_2007
33,0.0010502338409423828,dielmo_1990
34,0.0010881423950195312,laye_2007
35,0.0009160041809082031,matsari_1970
36,0.0009779930114746094,namawala_1991
37,0.001071929931640625,ndiop_1993
38,0.0012042522430419922,rafin_marke_1970
39,0.0013070106506347656,sugungum_1970
40,0.0014140605926513672,dapelogo_2007
41,0.0012140274047851562,dielmo_1990
42,0.0010139942169189453,laye_2007
43,0.0013990402221679688,matsari_1970
44,0.0009140968322753906,namawala_1991
45,0.0015308856964111328,ndiop_1993
46,0.0012180805206298828,rafin_marke_1970
47,0.0019998550415039062,sugungum_1970
48,0.0014200210571289062,dapelogo_2007
49,0.0016360282897949219,dielmo_1990
50,0.0010380744934082031,laye_2007
51,0.001039266586303711,matsari_1970
52,0.0016009807586669922,namawala_1991
53,0.0014269351959228516,ndiop_1993
54,0.0014331340789794922,rafin_marke_1970
55,0.001316070556640625,sugungum_1970
56,0.0013377666473388672,dapelogo_2007
57,0.0010437965393066406,dielmo_1990
58,0.0009679794311523438,laye_2007
59,0.0009560585021972656,matsari_1970
60,0.0009779930114746094,namawala_1991
61,0.0015399456024169922,ndiop_1993
62,0.0010020732879638672,rafin_marke_1970
63,0.0011110305786132812,sugungum_1970
64,0.0009059906005859375,dapelogo_2007
65,0.0008840560913085938,dielmo_1990
66,0.0010020732879638672,laye_2007
67,0.0010788440704345703,matsari_1970
68,0.0009016990661621094,namawala_1991
69,0.0009028911590576172,ndiop_1993
70,0.0008740425109863281,rafin_marke_1970
71,0.0008828639984130859,sugungum_1970
72,0.0009109973907470703,dapelogo_2007
73,0.001483917236328125,dielmo_1990
74,0.0009529590606689453,laye_2007
75,0.001360177993774414,matsari_1970
76,0.0009200572967529297,namawala_1991
77,0.001024007797241211,ndiop_1993
78,0.0009789466857910156,rafin_marke_1970
79,0.0010058879852294922,sugungum_1970
80,0.0009140968322753906,dapelogo_2007
81,0.0009369850158691406,dielmo_1990
82,0.000904083251953125,laye_2007
83,0.0009169578552246094,matsari_1970
84,0.001138925552368164,namawala_1991
85,0.0010080337524414062,ndiop_1993
86,0.0009469985961914062,rafin_marke_1970
87,0.0009021759033203125,sugungum_1970
88,0.0009100437164306641,dapelogo_2007
89,0.008116006851196289,dielmo_1990
90,0.0021517276763916016,laye_2007
91,0.002110004425048828,matsari_1970
92,0.0013890266418457031,namawala_1991
93,0.0016291141510009766,ndiop_1993
94,0.0009558200836181641,rafin_marke_1970
95,0.0009982585906982422,sugungum_1970
96,0.0015959739685058594,dapelogo_2007
97,0.0011928081512451172,dielmo_1990
98,0.0011610984802246094,laye_2007
99,0.0010480880737304688,matsari_1970
100,0.0014472007751464844,namawala_1991
101,0.0013270378112792969,ndiop_1993
102,0.001359701156616211,rafin_marke_1970
