,frac,rep,loss
0,0.1,0.0,0.15330350863188505
1,0.2,0.0,0.030100140302042874
2,0.3,0.0,0.04493693898494045
3,0.4,0.0,0.03840389151424169
4,0.5,0.0,0.04129258852638304
5,0.6,0.0,0.03975088829919696
6,0.7,0.0,0.04139170794002712
7,0.8,0.0,0.016996605606749655
8,0.9,0.0,0.025024032220244408
9,0.1,1.0,0.07046273853071033
10,0.2,1.0,0.06783642510111842
11,0.3,1.0,0.02789611561410129
12,0.4,1.0,0.019698309414461254
13,0.5,1.0,0.020132372675463556
14,0.6,1.0,0.030619692586362362
15,0.7,1.0,0.01276744320988655
16,0.8,1.0,0.03501637163385749
17,0.9,1.0,0.0057477522641420364
18,0.1,2.0,0.05691640567686409
19,0.2,2.0,0.0329122866514538
20,0.3,2.0,0.02358010185478876
21,0.4,2.0,0.022510150429978965
22,0.5,2.0,0.031883635305799546
23,0.6,2.0,0.04915210588773092
24,0.7,2.0,0.0332474220842123
25,0.8,2.0,0.026491083081811667
26,0.9,2.0,0.02657986432313919
27,0.1,3.0,0.15993140969611705
28,0.2,3.0,0.06333187320828437
29,0.3,3.0,0.025602027542268237
30,0.4,3.0,0.04879364750310779
31,0.5,3.0,0.05961708921007812
32,0.6,3.0,0.0313271170668304
33,0.7,3.0,0.03372672662138939
34,0.8,3.0,0.0147643938139081
35,0.9,3.0,0.03934986889362335
36,0.1,4.0,0.06794435868039728
37,0.2,4.0,0.04517817156442574
38,0.3,4.0,0.04747972181004782
39,0.4,4.0,0.02288229766860604
40,0.5,4.0,0.019940541352611037
41,0.6,4.0,0.0287611836095651
42,0.7,4.0,0.030403440959751605
43,0.8,4.0,0.024755672756582497
44,0.9,4.0,0.009982476010918617
45,0.1,5.0,0.04248266956396401
46,0.2,5.0,0.07031358991350446
47,0.3,5.0,0.03776691763848066
48,0.4,5.0,0.04762078944146633
49,0.5,5.0,0.0490430636908859
50,0.6,5.0,0.03704925768698255
51,0.7,5.0,0.024292745964601636
52,0.8,5.0,0.02615867106989026
53,0.9,5.0,0.01296820305287838
54,0.1,6.0,0.1563570521324873
55,0.2,6.0,0.042603281429303544
56,0.3,6.0,0.05264843189716339
57,0.4,6.0,0.037742038532346485
58,0.5,6.0,0.033671127750538286
59,0.6,6.0,0.043991556430856386
60,0.7,6.0,0.026409222230315207
61,0.8,6.0,0.029239669654518366
62,0.9,6.0,0.0901535153388977
63,0.1,7.0,0.15981366186775267
64,0.2,7.0,0.06275381027800696
65,0.3,7.0,0.04159306409334143
66,0.4,7.0,0.02095814335308969
67,0.5,7.0,0.016946594182401895
68,0.6,7.0,0.037601212577273446
69,0.7,7.0,0.02669775155559182
70,0.8,7.0,0.03660053236782551
71,0.9,7.0,0.019893040880560875
72,0.1,8.0,0.05262602774705738
73,0.2,8.0,0.03483966990400638
74,0.3,8.0,0.05550628165404002
75,0.4,8.0,0.04320232488811016
76,0.5,8.0,0.01593388877576217
77,0.6,8.0,0.03821771401166916
78,0.7,8.0,0.05141872312501073
79,0.8,8.0,0.03155156288295984
80,0.9,8.0,0.03156029060482979
81,0.1,9.0,0.043102879737503826
82,0.2,9.0,0.0625490840928895
83,0.3,9.0,0.026117118502035738
84,0.4,9.0,0.035106958995014426
85,0.5,9.0,0.046576140536926686
86,0.6,9.0,0.045491081986576316
87,0.7,9.0,0.034725031247362495
88,0.8,9.0,0.03800078407302499
89,0.9,9.0,0.012907963246107101
90,0.1,10.0,0.05358348080236465
91,0.2,10.0,0.058232192653630464
92,0.3,10.0,0.06860533399010697
93,0.4,10.0,0.04550525169894099
94,0.5,10.0,0.04155979029089212
95,0.6,10.0,0.040670994927485785
96,0.7,10.0,0.03715014663338661
97,0.8,10.0,0.04606795978173613
98,0.9,10.0,0.014435229822993279
99,0.1,11.0,0.0862211784152314
100,0.2,11.0,0.0529420059557472
