,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
94,47,169,0.46,7,3056,0.000000073,0.000000016,47.0,169.0,0.5949562191963196,7.0,3056.0,0.03940769284963608,0.24082998931407928,0.2657278776168823,0.01,131,adamW
178,437,275,0.049,7,704,0.00032,0.72,437.0,275.0,0.528622031211853,7.0,704.0,0.0047902208752930164,0.45763105154037476,0.2704773247241974,0.01,147,adamW
109,28,18,0.8,8,3891,0.00057,0.85,28.0,18.0,0.4502255916595459,8.0,3891.0,0.03577535226941109,0.21472135186195374,0.2713772654533386,0.01,209,adamW
177,173,52,0.56,7,1082,0.0011,0.000000014,173.0,52.0,0.8429698348045349,7.0,1082.0,0.002984914230182767,0.291742205619812,0.27349594235420227,0.01,114,adamW
13,221,49,0.98,8,5035,0.0000013,0.0000002,221.0,49.0,0.9883914589881897,8.0,4958.0,0.019209692254662514,0.47155073285102844,0.27896004915237427,0.01,210,adamW
132,20,422,0.6,7,1508,0.0000000012,0.18,20.0,422.0,0.39189058542251587,7.0,1508.0,0.0061249197460711,0.34756097197532654,0.2797694504261017,0.01,121,adamW
45,344,21,0.93,9,9135,0.0000043,0.0054,344.0,21.0,0.826794445514679,9.0,9035.0,0.0415302999317646,0.6079089641571045,0.28045204281806946,0.01,189,adamW
164,315,105,0.20,9,1156,0.000000010,0.12,315.0,105.0,0.7941087484359741,9.0,1156.0,1.5555233403574675e-05,0.41128450632095337,0.2817404568195343,0.01,138,adamW
120,136,79,0.41,6,930,0.00023,0.0019,136.0,79.0,0.8038807511329651,6.0,930.0,9.999999717180685e-10,0.28314757347106934,0.28191041946411133,0.01,106,adamW
103,200,85,0.28,8,2345,0.31,0.0000026,200.0,85.0,0.8031980395317078,8.0,2345.0,0.0037904472555965185,0.4401773512363434,0.283535897731781,0.01,133,adamW
159,277,155,0.26,6,994,0.0018,0.0000000043,277.0,155.0,0.5059751272201538,6.0,994.0,0.0025167379062622786,0.3369005620479584,0.2835676074028015,0.01,111,adamW
15,9,174,0.95,7,3545,0.12,0.0000000063,9.0,174.0,0.6825001239776611,7.0,3545.0,0.3429701626300812,0.012015257030725479,0.28468143939971924,0.01,138,adamW
133,434,176,0.12,9,2162,0.000001,0.010,434.0,176.0,0.14136479794979095,9.0,2162.0,0.05141216516494751,0.4022010564804077,0.2908789813518524,0.01,151,adamW
130,467,23,0.89,11,7451,0.00035,0.0000000087,467.0,23.0,0.5081334710121155,11.0,7351.0,0.05380268022418022,0.5045232176780701,0.29092419147491455,0.01,191,adamW
101,92,67,0.45,9,7750,0.83,0.00043,92.0,67.0,0.9943400621414185,9.0,7650.0,0.9900000095367432,0.42078131437301636,0.29379841685295105,0.01,149,adamW
85,21,241,0.44,8,1351,0.0036,0.00080,21.0,241.0,0.45056188106536865,8.0,1351.0,0.017677385360002518,0.04401169344782829,0.29391127824783325,0.01,104,adamW
32,51,210,0.13,10,2872,0.0013,0.000012,51.0,210.0,0.37468597292900085,10.0,2872.0,0.11556362360715866,0.22527718544006348,0.29455989599227905,0.01,150,adamW
106,185,4,0.16,9,2576,0.00000025,0.037,185.0,4.0,0.29064708948135376,9.0,2576.0,0.12613508105278015,0.3286699652671814,0.29510340094566345,0.01,189,adamW
97,35,152,0.92,6,5799,0.78,0.000063,35.0,152.0,0.895222544670105,6.0,5699.0,0.9900000095367432,0.20921948552131653,0.2956539988517761,0.01,133,adamW
147,471,81,0.77,6,4725,0.000027,0.000092,471.0,81.0,1.0,6.0,4725.0,0.03881276026368141,0.5025055408477783,0.29705896973609924,0.01,187,adamW
104,301,30,0.24,9,2098,0.00000043,0.0000029,301.0,30.0,0.4307445287704468,9.0,2098.0,0.06969057768583298,0.3342694342136383,0.2973816692829132,0.01,175,adamW
84,407,230,0.78,7,128,0.0000032,0.033,407.0,230.0,0.8151323199272156,7.0,128.0,9.999999717180685e-10,0.35575181245803833,0.2976109981536865,0.01,147,adamW
9,94,341,0.33,10,1672,0.10,0.0014,94.0,341.0,0.07688362151384354,10.0,1672.0,0.16247405111789703,0.2408454418182373,0.2983613908290863,0.01,118,adamW
144,44,19,0.34,7,6020,0.22,0.28,44.0,19.0,0.4005013704299927,7.0,5920.0,0.0593111477792263,0.46107205748558044,0.30053967237472534,0.01,122,adamW
173,59,42,0.053,9,5236,0.00048,0.00019,59.0,42.0,0.4380738139152527,9.0,5136.0,0.16462355852127075,0.3778858780860901,0.3022545278072357,0.01,171,adamW
190,186,299,0.66,10,4102,0.40,0.000011,186.0,299.0,1.0,10.0,4102.0,0.9532644748687744,0.5131778717041016,0.30514639616012573,0.01,169,adamW
