,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
109,28,18,0.8,8,3891,0.00057,0.85,28.0,18.0,0.4301322102546692,8.0,3892.0,0.07236424833536148,0.2255610227584839,0.26714888215065,0.5,103,adam
84,407,230,0.78,7,128,0.0000032,0.033,413.0,231.0,0.790698230266571,7.0,164.0,9.999999717180685e-10,0.33546674251556396,0.2807539999485016,0.5,216,adam
111,36,395,0.29,11,2987,0.005,0.00000071,36.0,395.0,0.8907282948493958,11.0,2986.0,0.9900000095367432,0.04665624722838402,0.28378990292549133,0.5,218,adam
175,2,361,0.38,10,5703,0.44,0.00000011,2.0,361.0,0.6210382580757141,10.0,5703.0,0.9900000095367432,0.34825679659843445,0.28523683547973633,0.5,190,adam
0,84,415,0.27,7,3265,0.000000021,0.00011,81.0,415.0,0.9904960989952087,6.0,3264.0,0.7343838214874268,0.07652825862169266,0.28593558073043823,0.5,105,adam
144,44,19,0.34,7,6020,0.22,0.28,44.0,19.0,0.8500118851661682,7.0,6020.0,0.9900000095367432,0.2771056890487671,0.2876167595386505,0.5,197,adam
163,353,136,0.77,6,6379,0.012,0.000024,353.0,136.0,1.0,6.0,6378.0,0.9900000095367432,0.83095383644104,0.2890755832195282,0.5,106,adam
180,7,289,0.056,9,4403,0.0000000035,0.024,7.0,289.0,0.5753061771392822,9.0,4403.0,0.9900000095367432,0.3203877806663513,0.2891455590724945,0.5,161,adam
196,41,422,0.36,9,9895,0.000046,0.0000063,41.0,422.0,0.8167756795883179,10.0,9895.0,0.9900000095367432,0.38098669052124023,0.290005087852478,0.5,186,adam
42,452,155,0.14,6,3310,0.000005,0.19,452.0,155.0,1.0,6.0,3310.0,0.9900000095367432,0.38291648030281067,0.29036229848861694,0.5,145,adam
61,457,198,0.36,7,6253,0.0000084,0.0000016,457.0,198.0,1.0,6.0,6253.0,0.9900000095367432,0.8940693736076355,0.2907984256744385,0.5,134,adam
31,3,89,0.69,7,5385,0.000000069,0.000021,3.0,90.0,0.40904954075813293,8.0,5384.0,0.9900000095367432,0.4611572325229645,0.29087066650390625,0.5,111,adam
118,357,33,0.50,7,2738,0.000093,0.00000059,356.0,33.0,0.9156928658485413,6.0,2738.0,0.9590137004852295,0.3604131042957306,0.2913680970668793,0.5,170,adam
125,189,486,0.83,11,3670,0.000000015,0.000000053,189.0,486.0,0.5735936760902405,11.0,3670.0,0.9900000095367432,0.5289744138717651,0.2917943596839905,0.5,192,adam
22,261,262,0.92,6,5867,0.0000000011,0.00070,261.0,262.0,1.0,6.0,5867.0,0.9900000095367432,0.7536988258361816,0.29188650846481323,0.5,138,adam
98,447,196,0.95,6,2923,0.00000059,0.0000021,446.0,196.0,1.0,6.0,2922.0,0.9900000095367432,0.3264771103858948,0.29234784841537476,0.5,166,adam
4,271,413,0.82,11,3452,0.024,0.00013,271.0,413.0,0.6271747350692749,11.0,3452.0,0.9900000095367432,0.4885135293006897,0.292482852935791,0.5,225,adam
