,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
193,130,454,0.33,6,3706,0.000000012,0.0081,68.0,276.0,0.8626987338066101,6.0,2156.0,0.5238151550292969,9.999999717180685e-10,0.27893468737602234,0.5,181,adamW
125,189,486,0.83,11,3670,0.000000015,0.000000053,90.0,291.0,0.5829286575317383,10.0,2169.0,0.9717832207679749,0.22299237549304962,0.2855384349822998,0.5,152,adamW
144,44,19,0.34,7,6020,0.22,0.28,43.0,18.0,0.780573308467865,7.0,3448.0,0.5549287796020508,0.1505758911371231,0.2857874929904938,0.5,213,adamW
190,186,299,0.66,10,4102,0.40,0.000011,97.0,194.0,0.43616825342178345,9.0,2459.0,0.8948318958282471,0.2924143075942993,0.28724968433380127,0.5,130,adamW
50,392,301,0.49,6,9321,0.00066,0.45,264.0,181.0,0.9668473601341248,6.0,5453.0,0.9900000095367432,0.7201331257820129,0.28850817680358887,0.5,160,adamW
91,415,348,0.15,7,9063,0.13,0.0027,269.0,198.0,0.968409538269043,6.0,5356.0,0.9900000095367432,0.7179948091506958,0.2894093990325928,0.5,141,adamW
33,340,116,0.11,6,9553,0.08,0.0000056,236.0,74.0,0.955180823802948,6.0,5633.0,0.9873852729797363,0.6958364248275757,0.29008397459983826,0.5,146,adamW
40,444,172,0.38,6,9237,0.010,0.00000018,287.0,84.0,1.0,6.0,5507.0,0.9842783808708191,0.7163283228874207,0.29023313522338867,0.5,124,adamW
147,471,81,0.77,6,4725,0.000027,0.000092,319.0,75.0,0.9204486608505249,6.0,2798.0,0.9900000095367432,0.3560522794723511,0.29123207926750183,0.5,155,adamW
35,351,27,0.79,10,9831,0.00025,0.00000085,218.0,25.0,0.9703128933906555,7.0,5791.0,0.9900000095367432,0.6602545380592346,0.292076051235199,0.5,152,adamW
67,102,62,0.97,6,9544,0.071,0.0000000051,81.0,26.0,0.8766798973083496,6.0,5621.0,0.9900000095367432,0.5127994418144226,0.29259976744651794,0.5,152,adamW
74,203,408,0.68,8,4481,0.0000000098,0.0033,103.0,228.0,0.33950063586235046,8.0,2655.0,0.9627249836921692,0.32929980754852295,0.29291343688964844,0.5,152,adamW
176,218,372,0.46,11,4295,0.00000036,0.0024,117.0,246.0,0.18595558404922485,10.0,2566.0,0.9900000095367432,0.3441495895385742,0.29487189650535583,0.5,135,adamW
