,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
94,47,169,0.46,7,3056,0.000000073,0.000000016,47.0,169.0,0.6061075925827026,7.0,3056.0,0.05254898965358734,0.19845397770404816,0.2685551047325134,0.01,197,adamax
178,437,275,0.049,7,704,0.00032,0.72,437.0,275.0,0.4699527621269226,7.0,704.0,0.0011924346908926964,0.46078988909721375,0.27080997824668884,0.01,177,adamax
177,173,52,0.56,7,1082,0.0011,0.000000014,173.0,52.0,0.8285802602767944,7.0,1082.0,0.004471433348953724,0.28138822317123413,0.273026704788208,0.01,119,adamax
132,20,422,0.6,7,1508,0.0000000012,0.18,20.0,422.0,0.4055621922016144,7.0,1508.0,0.0058420985005795956,0.3403530716896057,0.2802335321903229,0.01,122,adamax
104,301,30,0.24,9,2098,0.00000043,0.0000029,301.0,30.0,0.29925617575645447,9.0,2098.0,0.039229847490787506,0.3529159724712372,0.28874289989471436,0.01,197,adamax
8,358,92,0.28,11,1945,0.00000023,0.015,358.0,92.0,0.3962689936161041,11.0,1945.0,0.043396055698394775,0.3845975697040558,0.29147833585739136,0.01,201,adamax
85,21,241,0.44,8,1351,0.0036,0.00080,21.0,241.0,0.4458651840686798,8.0,1351.0,0.018954798579216003,0.047594279050827026,0.291597455739975,0.01,117,adamax
133,434,176,0.12,9,2162,0.000001,0.010,434.0,176.0,0.12469201534986496,9.0,2162.0,0.05685090646147728,0.3852235972881317,0.29360389709472656,0.01,301,adamax
45,344,21,0.93,9,9135,0.0000043,0.0054,344.0,21.0,0.9384156465530396,9.0,9135.0,0.04510217532515526,0.5377528071403503,0.29405343532562256,0.01,232,adamax
84,407,230,0.78,7,128,0.0000032,0.033,407.0,230.0,0.793160617351532,7.0,128.0,9.999999717180685e-10,0.33398106694221497,0.29469382762908936,0.01,154,adamax
173,59,42,0.053,9,5236,0.00048,0.00019,59.0,42.0,0.41325339674949646,9.0,5236.0,0.11215527355670929,0.40826675295829773,0.29554951190948486,0.01,201,adamax
101,92,67,0.45,9,7750,0.83,0.00043,92.0,67.0,0.9973548054695129,9.0,7750.0,0.892268717288971,0.38180994987487793,0.2989591360092163,0.01,168,adamax
15,9,174,0.95,7,3545,0.12,0.0000000063,9.0,174.0,0.7048909664154053,7.0,3545.0,0.22737891972064972,9.999999717180685e-10,0.2998536229133606,0.01,201,adamax
103,200,85,0.28,8,2345,0.31,0.0000026,200.0,85.0,0.707394540309906,8.0,2345.0,0.05740785598754883,0.325479656457901,0.30006635189056396,0.01,178,adamax
130,467,23,0.89,11,7451,0.00035,0.0000000087,467.0,23.0,0.7779579162597656,11.0,7451.0,0.05617324262857437,0.5329971313476562,0.3021819591522217,0.01,201,adamax
164,315,105,0.20,9,1156,0.000000010,0.12,315.0,105.0,0.593110203742981,9.0,1156.0,0.04115955904126167,0.29706817865371704,0.30397963523864746,0.01,125,adamax
97,35,152,0.92,6,5799,0.78,0.000063,35.0,152.0,0.9552968144416809,6.0,5799.0,0.8990602493286133,0.12525202333927155,0.30501917004585266,0.01,125,adamax
147,471,81,0.77,6,4725,0.000027,0.000092,471.0,81.0,1.0,6.0,4725.0,0.06419748067855835,0.42021694779396057,0.3053099811077118,0.01,193,adamax
144,44,19,0.34,7,6020,0.22,0.28,44.0,19.0,0.37809163331985474,7.0,6020.0,0.13072659075260162,0.40774455666542053,0.3071458637714386,0.01,123,adamax
36,75,267,0.83,10,1413,0.000030,0.99,75.0,267.0,0.5905375480651855,10.0,1413.0,9.999999717180685e-10,0.29539206624031067,0.307170569896698,0.01,199,adamax
9,94,341,0.33,10,1672,0.10,0.0014,94.0,341.0,0.1546572595834732,10.0,1672.0,0.13490623235702515,0.23481568694114685,0.30748283863067627,0.01,128,adamax
55,16,322,0.82,8,1744,0.000011,0.0000090,16.0,322.0,0.5050498247146606,8.0,1744.0,0.017689654603600502,0.017156800255179405,0.307733952999115,0.01,173,adamax
180,7,289,0.056,9,4403,0.0000000035,0.024,7.0,289.0,0.35363176465034485,9.0,4403.0,0.13816305994987488,0.284006267786026,0.3082205057144165,0.01,158,adamax
154,194,269,0.036,7,2405,0.16,0.000000063,194.0,269.0,0.009999999776482582,7.0,2405.0,0.24325187504291534,0.30888885259628296,0.31004393100738525,0.01,164,adamax
31,3,89,0.69,7,5385,0.000000069,0.000021,3.0,89.0,0.719458281993866,7.0,5385.0,0.04092375189065933,0.028043415397405624,0.3106345236301422,0.01,113,adamax
42,452,155,0.14,6,3310,0.000005,0.19,452.0,155.0,0.34028804302215576,6.0,3310.0,0.042771145701408386,0.48598864674568176,0.31417444348335266,0.01,176,adamax
59,245,481,0.97,8,1293,0.0000012,0.00000062,245.0,481.0,0.9716605544090271,8.0,1293.0,0.0761072039604187,0.000918994948733598,0.3146119713783264,0.01,132,adamax
137,324,184,0.39,11,1594,0.087,0.00000023,324.0,184.0,0.5125223398208618,11.0,1594.0,0.09980105608701706,0.2777319848537445,0.316892147064209,0.01,119,adamax
54,473,119,0.78,9,9253,0.000077,0.64,473.0,119.0,0.7443325519561768,9.0,9253.0,0.05847407877445221,0.8059641718864441,0.3169039487838745,0.01,120,adamax
111,36,395,0.29,11,2987,0.005,0.00000071,36.0,395.0,0.3743344843387604,11.0,2987.0,0.08767171204090118,0.3594300150871277,0.3176007866859436,0.01,201,adamax
13,221,49,0.98,8,5035,0.0000013,0.0000002,221.0,49.0,0.9846549034118652,8.0,5035.0,0.08965089917182922,0.38292181491851807,0.3178030252456665,0.01,141,adamax
46,264,73,0.87,8,2518,0.34,0.00017,264.0,73.0,0.9729382991790771,8.0,2518.0,0.3699275851249695,0.21158356964588165,0.31914111971855164,0.01,132,adamax
166,142,38,0.26,10,1457,0.92,0.016,142.0,38.0,0.30216801166534424,10.0,1457.0,0.7208945155143738,9.999999717180685e-10,0.3211126923561096,0.01,105,adamax
175,2,361,0.38,10,5703,0.44,0.00000011,2.0,361.0,0.6171957850456238,10.0,5703.0,0.3730447292327881,0.18981754779815674,0.3232289254665375,0.01,145,adamax
108,395,207,0.91,8,1627,0.00000017,0.15,395.0,207.0,0.9779277443885803,8.0,1627.0,0.054258838295936584,0.2445061057806015,0.32637178897857666,0.01,194,adamax
52,291,1,0.75,11,1767,0.00010,0.077,291.0,1.0,0.6815716028213501,11.0,1767.0,0.03731575235724449,0.25072020292282104,0.3271309435367584,0.01,137,adamax
79,90,217,0.47,11,1986,0.0000075,0.000000036,90.0,217.0,0.45737749338150024,11.0,1986.0,0.03900330513715744,0.19176360964775085,0.33046308159828186,0.01,124,adamax
158,381,238,0.21,11,2041,0.0000015,0.00000042,381.0,238.0,0.37795788049697876,11.0,2041.0,0.0712454617023468,0.40931469202041626,0.3305520713329315,0.01,201,adamax
109,28,18,0.8,8,3891,0.00057,0.85,28.0,18.0,0.7480984330177307,8.0,3891.0,9.999999717180685e-10,0.40497347712516785,0.3326979875564575,0.01,188,adamax
145,64,6,0.99,8,8248,0.00063,0.000000047,64.0,6.0,0.9312193989753723,8.0,8248.0,0.05591084808111191,0.2815891206264496,0.33291712403297424,0.01,142,adamax
190,186,299,0.66,10,4102,0.40,0.000011,186.0,299.0,1.0,10.0,4102.0,0.6521778106689453,0.40265148878097534,0.3329710066318512,0.01,184,adamax
