,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
99,155,466,0.35,11,9462,0.000020,0.00000049,155.0,439.0,0.8286656737327576,11.0,8512.0,0.6405184268951416,0.6478835344314575,0.36365771293640137,0.1,149,adamW
186,267,38,0.85,7,404,0.00039,0.00000027,267.0,38.0,0.82646644115448,7.0,404.0,9.999999717180685e-10,9.999999717180685e-10,0.36462315917015076,0.1,127,adamW
156,367,433,0.37,11,8929,0.0033,0.24,367.0,416.0,1.0,11.0,8043.0,0.600483238697052,0.8118001222610474,0.3650364279747009,0.1,133,adamW
199,103,55,0.42,10,4673,0.0000000079,0.000000013,103.0,55.0,0.4776355028152466,10.0,4246.0,0.18088367581367493,0.24788838624954224,0.36834943294525146,0.1,124,adamW
172,113,403,0.033,6,1126,0.0000000028,0.085,113.0,382.0,0.644524335861206,6.0,1026.0,0.5353878140449524,9.999999717180685e-10,0.37026774883270264,0.1,119,adamW
7,87,475,0.57,11,5111,0.00000067,0.000000098,87.0,453.0,1.0,11.0,4611.0,0.49364885687828064,0.5470332503318787,0.3730888366699219,0.1,115,adamW
160,160,290,0.70,8,9791,0.000083,0.0021,160.0,290.0,0.6812781691551208,8.0,8839.0,0.4882820248603821,0.7711895704269409,0.37438175082206726,0.1,123,adamW
34,275,495,0.39,7,6760,0.0000017,0.0000000017,275.0,412.0,0.009999999776482582,7.0,6061.0,0.5569949150085449,0.7994391918182373,0.3775014281272888,0.1,159,adamW
85,21,241,0.44,8,1351,0.0036,0.00080,21.0,241.0,0.009999999776482582,8.0,1251.0,0.4482993185520172,9.999999717180685e-10,0.3801199495792389,0.1,123,adamW
195,57,359,0.40,7,541,0.020,0.02,57.0,359.0,0.5456236600875854,7.0,541.0,9.999999717180685e-10,3.730624257514137e-06,0.38643383979797363,0.1,107,adamW
162,27,468,0.65,6,9378,0.000059,0.000000033,27.0,437.0,0.5359723567962646,6.0,8434.0,0.4428195059299469,0.7621394395828247,0.38808566331863403,0.1,146,adamW
153,54,250,0.32,11,658,0.000000026,0.00000053,54.0,250.0,0.5447208881378174,11.0,605.0,9.999999717180685e-10,9.999999717180685e-10,0.38980793952941895,0.1,112,adamW
112,451,8,0.16,11,385,0.000000078,0.00051,437.0,8.0,0.8130179047584534,11.0,385.0,9.999999717180685e-10,0.03419763594865799,0.40962523221969604,0.1,168,adamW
80,127,181,0.081,9,319,0.59,0.00000020,127.0,181.0,0.7211262583732605,9.0,319.0,9.999999717180685e-10,9.999999717180685e-10,0.4156099557876587,0.1,129,adamW
123,38,286,0.060,11,495,0.0038,0.027,38.0,286.0,0.39518052339553833,11.0,495.0,9.999999717180685e-10,9.999999717180685e-10,0.42777225375175476,0.1,133,adamW
139,164,273,0.042,11,177,0.007,0.000017,164.0,273.0,0.6291170716285706,11.0,177.0,9.999999717180685e-10,0.008775333873927593,0.4786957800388336,0.1,140,adamW
77,387,32,0.53,6,9,0.000021,0.0000000076,387.0,32.0,0.567430317401886,6.0,9.0,9.999999717180685e-10,9.999999717180685e-10,0.5295127034187317,0.1,131,adamW
141,197,283,0.016,10,3919,0.0000049,0.0000080,197.0,283.0,0.08593840152025223,10.0,3533.0,9.999999717180685e-10,0.003909434657543898,0.9461947679519653,0.1,113,adamW
196,41,422,0.36,9,9895,0.000046,0.0000063,41.0,422.0,0.2680536210536957,9.0,8886.0,9.999999717180685e-10,9.999999717180685e-10,0.967134952545166,0.1,173,adamW
49,66,455,0.48,7,6453,0.000000019,0.000047,66.0,430.0,0.20138750970363617,7.0,5821.0,9.999999717180685e-10,0.000231616897508502,0.9709990620613098,0.1,130,adamW
21,424,377,0.72,9,8758,0.00000028,0.00000015,392.0,377.0,0.6423722505569458,9.0,7861.0,9.999999717180685e-10,0.24637416005134583,0.9746878743171692,0.1,158,adamW
