,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
161,246,188,0.65,7,6800,0.015,0.0088,246.0,188.0,1.0,7.0,6800.0,0.9900000095367432,0.7724359035491943,0.2997162342071533,0.1,142,adam
5,80,186,0.81,8,4939,0.019,0.0038,80.0,186.0,0.9213742017745972,8.0,4939.0,0.9900000095367432,0.5023211240768433,0.30021339654922485,0.1,130,adam
118,357,33,0.50,7,2738,0.000093,0.00000059,357.0,33.0,0.9467975497245789,7.0,2738.0,0.9258386492729187,0.35324329137802124,0.3008010983467102,0.1,133,adam
95,113,100,0.61,10,9185,0.095,0.0043,113.0,100.0,1.0,10.0,9185.0,0.9900000095367432,0.41937845945358276,0.30092906951904297,0.1,137,adam
42,452,155,0.14,6,3310,0.000005,0.19,452.0,155.0,0.9411967992782593,6.0,3310.0,0.6673285365104675,0.40433618426322937,0.30102139711380005,0.1,136,adam
82,181,233,0.028,10,6221,0.000002,0.00000039,181.0,233.0,1.0,10.0,6221.0,0.9900000095367432,0.6393716335296631,0.30146169662475586,0.1,138,adam
25,239,200,0.87,6,7405,0.00018,0.0000033,239.0,200.0,1.0,6.0,7405.0,0.9900000095367432,0.8265436887741089,0.30208098888397217,0.1,120,adam
32,51,210,0.13,10,2872,0.0013,0.000012,51.0,210.0,0.20210713148117065,10.0,2872.0,0.562539279460907,0.33257946372032166,0.30220818519592285,0.1,143,adam
43,398,204,0.25,9,4007,0.00086,0.0000000013,398.0,204.0,1.0,9.0,4007.0,0.9900000095367432,0.5072677731513977,0.30287790298461914,0.1,145,adam
182,77,322,0.25,8,7345,0.0000000042,0.000000075,77.0,322.0,1.0,8.0,7345.0,0.9900000095367432,0.5059577822685242,0.3045271337032318,0.1,128,adam
119,336,144,0.56,8,1862,0.00073,0.0000070,336.0,144.0,1.0,8.0,1862.0,0.5367069840431213,0.15944410860538483,0.30480486154556274,0.1,112,adam
190,186,299,0.66,10,4102,0.40,0.000011,186.0,299.0,1.0,10.0,4102.0,0.9900000095367432,0.5216063261032104,0.30491000413894653,0.1,147,adam
2,486,406,0.62,10,3847,0.014,0.0011,486.0,406.0,0.9968833327293396,10.0,3847.0,0.9900000095367432,0.4375253915786743,0.30514365434646606,0.1,130,adam
103,200,85,0.28,8,2345,0.31,0.0000026,200.0,85.0,1.0,8.0,2345.0,0.16654053330421448,0.18021410703659058,0.30623847246170044,0.1,157,adam
18,297,492,0.75,6,2771,0.15,0.0000000055,297.0,492.0,0.6940621137619019,6.0,2771.0,0.9900000095367432,0.3265449106693268,0.30628591775894165,0.1,151,adam
108,395,207,0.91,8,1627,0.00000017,0.15,395.0,207.0,1.0,8.0,1627.0,0.4406241774559021,0.10831960290670395,0.3063492774963379,0.1,141,adam
