,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
109,28,18,0.8,8,3891,0.00057,0.85,28.0,18.0,0.34886568784713745,8.0,3892.0,0.061428431421518326,0.23641349375247955,0.26707151532173157,0.5,104,adamax
178,437,275,0.049,7,704,0.00032,0.72,437.0,276.0,0.5293613076210022,8.0,704.0,0.004885837435722351,0.4532868564128876,0.27090564370155334,0.5,211,adamax
35,351,27,0.79,10,9831,0.00025,0.00000085,351.0,27.0,0.46711528301239014,10.0,9831.0,0.040047284215688705,0.6567053198814392,0.2744816541671753,0.5,144,adamax
111,36,395,0.29,11,2987,0.005,0.00000071,36.0,395.0,0.2391832172870636,10.0,2986.0,0.9881461262702942,0.4835800528526306,0.28523433208465576,0.5,139,adamax
29,25,374,0.74,8,5943,0.00025,0.13,24.0,374.0,0.9792521595954895,8.0,5942.0,0.9900000095367432,9.999999717180685e-10,0.2866777181625366,0.5,133,adamax
175,2,361,0.38,10,5703,0.44,0.00000011,2.0,361.0,0.8557855486869812,10.0,5703.0,0.8380683064460754,9.999999717180685e-10,0.2886176109313965,0.5,154,adamax
163,353,136,0.77,6,6379,0.012,0.000024,353.0,136.0,1.0,6.0,6378.0,0.9900000095367432,0.8275012373924255,0.2889629900455475,0.5,165,adamax
42,452,155,0.14,6,3310,0.000005,0.19,452.0,154.0,0.9992321133613586,6.0,3310.0,0.9900000095367432,0.38801681995391846,0.29038047790527344,0.5,142,adamax
61,457,198,0.36,7,6253,0.0000084,0.0000016,457.0,198.0,1.0,6.0,6253.0,0.9900000095367432,0.8939099311828613,0.2907835841178894,0.5,150,adamax
22,261,262,0.92,6,5867,0.0000000011,0.00070,261.0,262.0,1.0,6.0,5867.0,0.9900000095367432,0.7539432644844055,0.2918829023838043,0.5,107,adamax
88,82,60,0.14,9,7198,0.61,0.000017,82.0,60.0,0.29634296894073486,10.0,7198.0,0.048202212899923325,0.5025880336761475,0.2932637333869934,0.5,128,adamax
101,92,67,0.45,9,7750,0.83,0.00043,92.0,67.0,1.0,10.0,7750.0,0.9900000095367432,0.39115282893180847,0.2933366000652313,0.5,123,adamax
106,185,4,0.16,9,2576,0.00000025,0.037,185.0,4.0,0.02926013246178627,10.0,2576.0,0.7883136868476868,0.3560439348220825,0.2936517894268036,0.5,132,adamax
41,363,387,0.72,6,2609,0.000000049,0.036,362.0,386.0,0.8496888279914856,6.0,2608.0,0.9863814115524292,0.28246596455574036,0.29393044114112854,0.5,137,adamax
84,407,230,0.78,7,128,0.0000032,0.033,408.0,230.0,0.7926872968673706,7.0,128.0,9.999999717180685e-10,0.3313414454460144,0.29399335384368896,0.5,110,adamax
89,367,309,0.67,6,5660,0.000000091,0.0000041,366.0,308.0,1.0,6.0,5660.0,0.9900000095367432,0.8261134028434753,0.2940356135368347,0.5,135,adamax
124,419,223,0.59,7,4599,0.00000055,0.00023,420.0,223.0,1.0,7.0,4598.0,0.9900000095367432,0.6486229300498962,0.29404234886169434,0.5,161,adamax
47,69,160,0.47,10,9915,0.000042,0.000000017,69.0,160.0,0.8520324230194092,10.0,9915.0,0.9900000095367432,0.3697977662086487,0.29425594210624695,0.5,159,adamax
125,189,486,0.83,11,3670,0.000000015,0.000000053,189.0,486.0,0.4021112620830536,11.0,3670.0,0.9900000095367432,0.5492984652519226,0.29437604546546936,0.5,138,adamax
53,376,164,0.61,6,2392,0.0000072,0.00092,376.0,164.0,1.0,6.0,2392.0,0.9344232678413391,0.23554690182209015,0.2944657504558563,0.5,146,adamax
73,73,97,0.94,11,3783,0.024,0.0000000039,73.0,97.0,0.7677623629570007,11.0,3783.0,0.8595409989356995,0.3508894443511963,0.29506105184555054,0.5,159,adamax
14,337,210,0.51,6,2815,0.000035,0.00010,336.0,210.0,0.8007937669754028,6.0,2814.0,0.9900000095367432,0.3525601923465729,0.29592227935791016,0.5,141,adamax
173,59,42,0.053,9,5236,0.00048,0.00019,59.0,42.0,0.622643232345581,10.0,5236.0,0.9900000095367432,0.4525725543498993,0.2963804006576538,0.5,138,adamax
87,229,248,1.,9,5052,0.0017,0.22,228.0,248.0,0.9872701168060303,8.0,5052.0,0.9900000095367432,0.6368416547775269,0.29786789417266846,0.5,108,adamax
18,297,492,0.75,6,2771,0.15,0.0000000055,297.0,491.0,0.009999999776482582,6.0,2770.0,0.9900000095367432,0.36351215839385986,0.2979007065296173,0.5,120,adamax
17,446,69,0.5,8,3396,0.057,0.00075,446.0,69.0,1.0,8.0,3396.0,0.9900000095367432,0.418117880821228,0.2979314625263214,0.5,129,adamax
157,427,122,0.69,11,5260,0.26,0.046,427.0,122.0,0.6776553392410278,11.0,5260.0,0.9900000095367432,0.7411876916885376,0.29856860637664795,0.5,167,adamax
185,50,319,0.41,7,5964,0.000025,0.0000000019,50.0,319.0,0.8684478998184204,7.0,5964.0,0.9900000095367432,0.36995962262153625,0.29859286546707153,0.5,171,adamax
37,207,295,0.16,8,5534,0.000014,0.00022,207.0,295.0,0.9541516900062561,8.0,5534.0,0.9900000095367432,0.6642065644264221,0.2988162040710449,0.5,169,adamax
57,299,325,0.80,11,3611,0.00092,0.0000014,299.0,326.0,0.6372766494750977,11.0,3610.0,0.9900000095367432,0.4964047372341156,0.29884955286979675,0.5,146,adamax
