,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer,ll
503,321,369,0.14,9,1615,0.0031,0.042,321.0,369.0,0.6619349122047424,9.0,1614.0,0.7188390493392944,0.5637861490249634,0.2803367078304291,0.5,155,adamax,22.81005434085922
504,194,214,0.58,8,2275,5e-07,2.5e-05,194.0,214.0,0.4455650150775909,8.0,2274.0,0.8271055817604065,0.4715585112571716,0.2818682491779327,0.5,149,adamax,24.762738288696134
505,269,104,0.049,9,2626,7.2e-09,0.1,269.0,104.0,0.3601440489292145,9.0,2626.0,0.8434836268424988,0.5249757766723633,0.2821829915046692,0.5,146,adamax,25.2962441696475
506,364,31,0.96,8,2821,1.4e-06,0.00022,364.0,31.0,0.1575621217489242,8.0,2820.0,0.7698237299919128,0.5959177613258362,0.2837593257427215,0.5,151,adamax,23.422269298836493
507,304,339,0.94,10,2042,0.0053,1.2e-05,304.0,339.0,0.2399236410856247,10.0,2042.0,0.6583669781684875,0.5589296817779541,0.2843757271766662,0.5,156,adamax,24.647464032119768
508,120,467,0.94,11,2907,0.0008,6.3e-06,120.0,467.0,0.1065286174416542,11.0,2906.0,0.9599416851997375,0.6530545949935913,0.2858049869537353,0.5,166,adamax,26.03834589169316
509,95,3,0.69,10,1159,1.6e-05,0.5,95.0,3.0,1.0,10.0,1160.0,0.0541790500283241,0.0057533136568963,0.2863809764385223,0.5,115,adamax,15.26147463149592
510,481,8,0.74,11,9244,9.6e-06,0.4,481.0,8.0,0.0099999997764825,11.0,9244.0,0.009358687326312,0.8396812677383423,0.2869272828102112,0.5,114,adamax,26.428407998675194
511,338,69,0.86,7,1285,0.0065,7.1e-08,338.0,69.0,0.7889010906219482,7.0,1284.0,0.4458090662956238,0.2785777449607849,0.2884499132633209,0.5,134,adamax,14.57496319899969
512,376,444,0.11,9,1773,4.1e-09,8.2e-07,376.0,444.0,0.5869101285934448,9.0,1772.0,0.7870438694953918,0.6877681016921997,0.2943339347839355,0.5,120,adamax,18.451484128352796
513,153,184,0.029,10,3412,0.14,7.1e-07,153.0,184.0,0.0099999997764825,10.0,3412.0,0.9900000095367432,0.6202189326286316,0.2945205271244049,0.5,129,adamax,25.951207753691342
514,182,47,0.42,6,6461,0.44,0.12,182.0,47.0,1.0,6.0,6460.0,0.1261562258005142,0.5557994842529297,0.2955720126628876,0.5,148,adamax,27.83950507462119
